Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2023-05-25 23:05:28,2023-05-26 23:41:34,UTC+01:00,2023-05-26 20:48:28,2023-05-26 21:28:25,39,Other,9.6,363.0,147,128,9,23,68,0,0,false,,,
2023-05-24 23:35:31,2023-05-25 23:05:28,UTC+01:00,2023-05-25 07:22:53,2023-05-25 08:18:25,55,Functional Fitness,10.8,468.0,168,129,8,36,43,13,0,false,,,
2023-05-17 22:50:54,2023-05-18 22:42:34,UTC+01:00,2023-05-18 07:23:56,2023-05-18 08:08:57,45,Activity,10.8,433.0,175,130,3,36,51,10,0,false,,,
2023-05-14 04:42:47,2023-05-14 21:40:12,UTC+01:00,2023-05-14 13:52:29,2023-05-14 14:49:33,57,Running,12.2,579.0,160,144,0,2,61,37,0,false,,,
2023-05-13 01:42:44,2023-05-14 04:42:47,UTC+01:00,2023-05-13 09:08:20,2023-05-13 09:31:47,23,Running,13.8,367.0,186,164,4,0,7,10,79,false,,,
2023-05-09 01:05:35,2023-05-09 22:14:06,UTC+01:00,2023-05-09 17:49:22,2023-05-09 18:58:29,69,Running,13.2,688.0,179,139,0,14,66,16,4,false,,,
2023-04-24 00:27:15,2023-04-24 22:14:21,UTC+01:00,2023-04-24 07:22:42,2023-04-24 08:04:52,42,Running,15.5,626.0,175,158,0,2,12,56,30,false,,,
2023-04-22 01:58:46,2023-04-23 04:14:05,UTC+01:00,2023-04-22 11:29:58,2023-04-22 12:29:51,59,Running,16.5,860.0,175,156,0,1,6,92,1,false,,,
2023-04-18 00:28:33,2023-04-18 23:30:51,UTC+01:00,2023-04-18 07:19:20,2023-04-18 08:07:53,48,Running,15.0,671.0,172,152,1,2,13,84,0,false,,,
2023-03-26 00:13:29,2023-03-26 21:37:07,UTCZ,2023-03-26 10:33:46,2023-03-26 12:26:21,112,Activity,13.8,865.0,169,136,0,9,63,6,0,false,,,
2023-03-20 00:27:36,2023-03-20 22:46:56,UTCZ,2023-03-20 07:20:19,2023-03-20 08:17:59,57,Running,17.6,887.0,189,160,0,2,9,39,50,false,,,
2023-03-18 23:48:49,2023-03-20 00:27:36,UTCZ,2023-03-19 10:44:30,2023-03-19 12:20:40,96,Running,15.9,1097.0,179,140,1,3,83,12,0,false,,,
2023-03-15 23:35:31,2023-03-16 22:56:53,UTCZ,2023-03-16 07:10:56,2023-03-16 08:00:17,49,Running,16.4,737.0,187,158,1,2,8,62,27,false,,,
2023-03-05 00:22:35,2023-03-05 21:33:25,UTCZ,2023-03-05 08:54:22,2023-03-05 11:57:35,183,Running,20.2,1727.0,181,131,21,6,1,32,22,true,655.77,2.28,0.96
2023-02-28 23:37:14,2023-03-01 22:24:20,UTCZ,2023-03-01 07:28:00,2023-03-01 08:15:36,47,Running,16.2,711.0,174,158,0,6,6,76,12,true,782.00,5.54,0.30
2023-02-26 21:56:22,2023-02-27 22:19:55,UTCZ,2023-02-27 17:55:24,2023-02-27 19:29:10,93,Running,15.6,1059.0,174,140,0,4,85,11,0,true,17202.72,341.22,5.12
2023-02-19 23:46:57,2023-02-20 23:16:05,UTCZ,2023-02-20 07:28:50,2023-02-20 08:25:20,56,Running,17.2,869.0,185,160,0,1,4,86,9,true,12476.76,191.13,-0.25
2023-02-18 00:17:44,2023-02-19 00:04:08,UTCZ,2023-02-18 12:02:42,2023-02-18 13:46:19,103,Running,20.0,1538.0,187,157,3,3,1,71,22,true,19929.94,407.68,0.86
2023-02-13 22:30:55,2023-02-15 00:02:16,UTCZ,2023-02-14 18:16:21,2023-02-14 19:30:15,73,Running,16.2,833.0,168,145,4,8,4,68,0,true,11226.45,283.07,1.89
2023-02-13 02:09:28,2023-02-13 22:30:55,UTCZ,2023-02-13 17:39:55,2023-02-13 18:02:47,22,Running,10.0,274.0,162,143,1,10,43,46,0,true,4155.51,60.35,-16.94
2023-02-05 22:10:13,2023-02-07 01:06:52,UTCZ,2023-02-06 18:16:14,2023-02-06 19:02:11,45,Running,16.4,703.0,181,160,0,4,5,59,32,false,,,
2023-02-04 00:48:22,2023-02-05 04:56:59,UTCZ,2023-02-04 10:09:26,2023-02-04 11:56:07,106,Running,20.4,1659.0,197,164,0,4,5,33,57,true,20553.99,376.99,0.05
2023-01-31 23:47:46,2023-02-01 23:46:54,UTCZ,2023-02-01 07:35:23,2023-02-01 08:26:32,51,Activity,10.6,452.0,157,125,13,39,46,2,0,false,,,
2023-01-28 23:27:13,2023-01-30 02:25:01,UTCZ,2023-01-29 12:36:27,2023-01-29 14:12:38,96,Running,19.1,1336.0,183,157,1,4,5,80,8,true,19297.06,354.11,-0.01
2023-01-22 00:53:15,2023-01-23 00:11:45,UTCZ,2023-01-22 11:26:46,2023-01-22 12:31:52,65,Running,18.8,1065.0,189,167,0,0,4,42,54,true,1242.00,12.18,-0.07
2023-01-17 00:43:28,2023-01-17 23:53:01,UTCZ,2023-01-17 18:06:27,2023-01-17 19:11:59,65,Running,17.4,962.0,182,157,0,5,5,79,11,true,464.69,2.35,0.05
2023-01-14 00:30:01,2023-01-15 02:29:19,UTCZ,2023-01-14 11:08:48,2023-01-14 12:04:50,56,Running,17.7,887.0,189,164,0,0,7,43,50,false,,,
2023-01-10 23:21:16,2023-01-12 00:35:10,UTCZ,2023-01-11 18:11:44,2023-01-11 19:18:41,66,Functional Fitness,10.8,523.0,156,122,15,54,27,4,0,false,,,
2023-01-09 00:30:38,2023-01-10 00:24:41,UTCZ,2023-01-09 18:07:07,2023-01-09 18:59:00,51,Running,15.9,721.0,181,153,2,10,7,65,16,true,9757.20,95.00,0.76
2023-01-08 00:16:13,2023-01-09 00:30:38,UTCZ,2023-01-08 10:59:35,2023-01-08 11:40:28,40,Running,16.1,648.0,180,163,0,1,2,75,22,false,,,
2023-01-03 22:46:01,2023-01-04 22:14:12,UTCZ,2023-01-04 17:49:18,2023-01-04 18:26:16,36,Functional Fitness,7.8,261.0,160,125,13,33,42,11,0,true,382.04,2.73,-4.15
2022-12-30 01:02:26,2022-12-31 01:27:20,UTCZ,2022-12-30 13:55:59,2022-12-30 15:21:26,85,Running,7.5,324.0,151,105,45,37,4,0,0,true,1822.88,34.68,13.10
